num_locations,num_bootstrappers,num_reputables,num_endorsees,num_newbies,num_meetups,num_meetups_without_bootstrapper_or_reputable,min_num_bootstrappers,max_num_bootstrappers,min_num_reputables,max_num_reputables,min_bootstrapers_and_reputable,min_newbie_ratio,max_newbie_ratio,min_length,max_length,num_participants
5,3,702,0,0,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,0,628,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,0,3777,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,0,4653,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,0,10000,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,4685,0,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,4685,2944,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,4685,8643,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,4685,5912,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,4685,10000,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,5121,0,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,5121,9991,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,5121,5132,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,5121,3597,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,5121,10000,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,7342,0,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,7342,9810,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,7342,7382,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,7342,4575,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,7342,10000,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,10000,0,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,10000,7005,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,10000,5918,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,10000,6102,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,702,10000,10000,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,0,0,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,0,5049,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,0,4348,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,0,8806,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,0,10000,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,7732,0,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,7732,1118,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,7732,6469,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,7732,921,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,7732,10000,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,2784,0,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,2784,3525,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,2784,5086,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,2784,1212,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,2784,10000,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,5875,0,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,5875,8774,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,5875,8477,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,5875,6689,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,5875,10000,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,10000,0,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,10000,5553,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,10000,3599,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,10000,9106,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,3141,10000,10000,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,0,0,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,0,5752,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,0,4559,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,0,5109,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,0,10000,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,7164,0,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,7164,6500,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,7164,2568,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,7164,1276,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,7164,10000,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,9777,0,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,9777,2972,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,9777,9535,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,9777,4265,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,9777,10000,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,1625,0,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,1625,6615,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,1625,1651,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,1625,3302,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,1625,10000,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,10000,0,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,10000,1614,5,0,0,1,10,11,11,0.0,0.0,11,11,55
5,3,8524,10000,362,5,0,0,1,10,11,11,0.0,0.0,11,11,55
